Hash,author,KC-Tags,MF-Tags,AM-Tags
a3336160203dd8f8d2ae567238fcb0978bf21e8d,Leandro Dorileo,[('New' | 'Select')],no-tag-changed,no-tag-changed
17022a2622ddce9fbbd478a551f46e639d991cb0,Leandro Dorileo,no-tag-changed,[('Modify' | 'Mapping') | ('Modify' | 'build')],no-tag-changed
2c727429e244c074a45c0d99b8ba57ad7fb6df36,Leandro Dorileo,[('Added' | 'Select') | ('Modify' | 'Feature') | ('Modify' | 'Select') | ('Added' | 'Depends')],[('Modify' | 'Mapping') | ('Modify' | 'ifdef')],['changeAsset']
d556d826bfbb02fb7efbba21585a3888e512db41,Leandro Dorileo,[('New' | 'Select')],[('Modify' | 'Mapping')],no-tag-changed
da5f77ff470f49e90797db27a8923c988c099e96,Bruno Dilly,[('Modify' | 'Default') | ('Modify' | 'Feature') | ('Modify' | 'Select')],no-tag-changed,no-tag-changed
e6e17e41bbeb92125541c9cc4c06273ef1566c22,Leandro Dorileo,no-tag-changed,[('Added' | 'build')],no-tag-changed
408e85bb1b58c7cd5acfb82953f28da4a9506802,Leandro Dorileo,[('New' | 'Select')],[('Added' | 'Mapping')],no-tag-changed
ec6c506d1e926efa1007e9b5946d57a5e3f3804a,Leandro Dorileo,no-tag-changed,[('Modify' | 'build')],no-tag-changed
9110b309393ec27dee35baf23d1cbefe1a796d8f,Bruno Dilly,[('Added' | 'Depends') | ('Modify' | 'Depends')],no-tag-changed,no-tag-changed
6904e3aac6aa216f95638ea168f1307a519cc668,Ederson de Souza,no-tag-changed,no-tag-changed,['changeAsset' | 'addAsset']
0e485bad769392e3373c005618725e43a247073c,Ulisses Furquim,[('Added' | 'Feature') | ('Added' | 'Depends') | ('New' | 'Default') | ('Remove' | 'Feature') | ('Remove' | 'Depends') | ('Remove' | 'Default')],[('Added' | 'ifdef') | ('Added' | 'build') | ('Remove' | 'ifdef') | ('Remove' | 'build')],['changeAsset' | 'addAsset']
3e677dd8f3c6427a861a36f139f49c814f5dad88,Leandro Dorileo,no-tag-changed,[('Added' | 'build') | ('Modify' | 'build')],no-tag-changed
3f95a2bef52b4acd653afc4ec1f28e39ab2b685b,Leandro Dorileo,no-tag-changed,[('Modify' | 'build')],no-tag-changed
2d39b630bf887702b53471ded8b2271f37ac94a1,Ulisses Furquim,[('Added' | 'Depends') | ('Modify' | 'Default')],no-tag-changed,no-tag-changed
47f2b250b4f6e5fac3731cf2cfc5247c6eefb667,Anselmo L. S. Melo,no-tag-changed,no-tag-changed,['changeAsset' | 'removeAsset']
697c761c826106f0505ead2bc0c1943238a62672,Bruno Dilly,no-tag-changed,[('Modify' | 'build')],no-tag-changed
b2d5828059fd547c3faf1a79b50fa075f397ad50,Tomaz Canabrava,[('Added' | 'Feature') | ('New' | 'Default') | ('Modify' | 'Default')],[('Added' | 'Mapping')],no-tag-changed
0ed695cce9c78ed456e50b4e43b76f76fc98dba2,Ulisses Furquim,[('Added' | 'Depends')],no-tag-changed,['changeAsset']
af406678b310e9bb610a722640a4972d7ed05089,Leandro Dorileo,no-tag-changed,[('Added' | 'Mapping') | ('Added' | 'build') | ('Modify' | 'Mapping') | ('Remove' | 'build')],['addAsset' | 'changeAsset']
0f5c625000541d6cbaa0ce2f030a83d02f816f87,Leandro Dorileo,[('Remove' | 'Feature') | ('Remove' | 'Default') | ('Remove' | 'Select')],no-tag-changed,no-tag-changed
0c45273fb09534946b704fea99f64c7acbb14eea,Leandro Dorileo,no-tag-changed,[('Added' | 'Mapping')],no-tag-changed
77253265d4d8bd61961ba176ac076f5b35c8bf1c,Vinicius Costa Gomes,no-tag-changed,[('Added' | 'build')],no-tag-changed
c737f45c8842e187dd5b6daf32395de837e0cd8a,Vinicius Costa Gomes,no-tag-changed,[('Modify' | 'build')],no-tag-changed
6c15ac58e4b68f95aa222b55db13213d44d8195b,Murilo Belluzzo,no-tag-changed,[('Modify' | 'build')],no-tag-changed
00b4e6a14a405ea18ec2cc9382d86226fb1cd557,Murilo Belluzzo,[('Remove' | 'Feature')],no-tag-changed,no-tag-changed
